Date,Open,High,Low,Close,Volume
2014-02-28,147.88,147.5,147.5,147.5,1
2014-02-27,145.46,147.88,147.88,147.88,1
2014-02-26,145.9,145.48,145.48,145.48,1
2014-02-25,146.3,145.91,145.91,145.91,1
2014-02-24,148.2,146.26,146.26,146.26,1
2014-02-21,150.26,148.19,148.19,148.19,1
2014-02-20,147.36,150.28,150.28,150.28,1
2014-02-19,146.66,147.36,147.36,147.36,1
2014-02-18,148.01,146.65,146.65,146.65,1
2014-02-14,149.62,148.0,148.0,148.0,1
2014-02-13,148.15,149.61,149.61,149.61,1
2014-02-12,147.79,148.15,148.15,148.15,1
2014-02-11,145.95,147.78,147.78,147.78,1
2014-02-10,145.39,145.96,145.96,145.96,1
2014-02-07,144.37,145.4,145.4,145.4,1
2014-02-06,144.26,144.36,144.36,144.36,1
2014-02-05,145.19,144.27,144.27,144.27,1
2014-02-04,143.57,145.19,145.19,145.19,1
2014-02-03,149.05,143.56,143.56,143.56,1
2014-01-31,148.84,149.05,149.05,149.05,1
2014-01-30,148.56,148.85,148.85,148.85,1
2014-01-29,149.21,148.56,148.56,148.56,1
2014-01-28,149.19,149.22,149.22,149.22,1
2014-01-27,149.01,149.2,149.2,149.2,1
2014-01-24,150.47,149.0,149.0,149.0,1
2014-01-23,148.96,150.48,150.48,150.48,1
2014-01-22,150.07,148.96,148.96,148.96,1
2014-01-21,151.16,150.06,150.06,150.06,1
2014-01-17,151.94,151.14,151.14,151.14,1
2014-01-16,151.34,151.96,151.96,151.96,1
2014-01-15,149.16,151.35,151.35,151.35,1
2014-01-14,148.54,149.15,149.15,149.15,1
2014-01-13,150.17,148.53,148.53,148.53,1
2014-01-10,149.6,150.18,150.18,150.18,1
2014-01-09,152.49,149.6,149.6,149.6,1
2014-01-08,153.48,152.48,152.48,152.48,1
2014-01-07,154.28,155.09,155.09,155.09,1
2014-01-06,153.57,154.25,154.25,154.25,1
2014-01-03,154.62,153.55,153.55,153.55,1
2014-01-02,155.53,154.62,154.62,154.62,1
2013-12-31,155.64,155.52,155.52,155.52,1
2013-12-30,155.57,155.64,155.64,155.64,1
2013-12-27,155.51,155.57,155.57,155.57,1
2013-12-26,154.81,155.57,155.57,155.57,1
2013-12-24,153.67,154.82,154.82,154.82,1
2013-12-23,152.09,153.65,153.65,153.65,1
2013-12-20,153.05,152.1,152.1,152.1,1
2013-12-19,152.95,153.04,153.04,153.04,1
2013-12-18,150.55,152.94,152.94,152.94,1
2013-12-17,152.01,150.56,150.56,150.56,1
2013-12-16,150.85,151.8,151.8,151.8,1
2013-12-13,151.31,150.85,150.85,150.85,1
2013-12-12,151.87,151.32,151.32,151.32,1
2013-12-11,153.91,151.88,151.88,151.88,1
2013-12-10,155.15,153.91,153.91,153.91,1
2013-12-09,154.61,155.16,155.16,155.16,1
2013-12-06,153.08,154.6,154.6,154.6,1
2013-12-05,154.49,153.05,153.05,153.05,1
2013-12-04,155.04,154.53,154.53,154.53,1
2013-12-03,154.72,155.05,155.05,155.05,1
2013-12-02,156.05,154.72,154.72,154.72,1
2013-11-29,156.91,156.05,156.05,156.05,1
2013-11-27,156.75,156.91,156.91,156.91,1
2013-11-26,156.8,156.73,156.73,156.73,1
2013-11-25,157.22,156.8,156.8,156.8,1
2013-11-22,157.33,157.23,157.23,157.23,1
2013-11-21,157.7,157.34,157.34,157.34,1
2013-11-20,159.2,157.83,157.83,157.83,1
2013-11-19,159.02,159.2,159.2,159.2,1
2013-11-18,158.07,159.02,159.02,159.02,1
2013-11-15,157.27,158.06,158.06,158.06,1
2013-11-14,156.51,157.26,157.26,157.26,1
2013-11-13,156.81,156.52,156.52,156.52,1
2013-11-12,156.33,156.82,156.82,156.82,1
2013-11-08,156.89,156.84,156.84,156.84,1
2013-11-07,159.76,156.91,156.91,156.91,1
2013-11-06,158.25,159.76,159.76,159.76,1
2013-11-05,161.36,158.25,158.25,158.25,1
2013-11-04,160.15,161.37,161.37,161.37,1
2013-11-01,160.27,160.14,160.14,160.14,1
2013-10-31,160.44,160.27,160.27,160.27,1
2013-10-30,161.2,160.4,160.4,160.4,1
2013-10-29,158.91,161.21,161.21,161.21,1
2013-10-28,158.2,158.91,158.91,158.91,1
