S5RLST,S5TELS,S5COND,S5CONS,S5ENRS,S5FINL,S5HLTH,S5INDU,S5INFT,S5MATR,S5UTIL
248.21,170.73,952.26,628.62,437.36,473.45,1069.33,657.43,1417.01,360.24,327.78
247.78,169.65,956.37,625.67,434.1,471.76,1062.67,657.62,1415.29,357.88,326.58
248.76,171.19,963.29,625.49,428.49,473.09,1060.84,652.36,1434.96,359.34,325.13
247.02,170.48,958.79,623.45,420.67,466.45,1061.63,648.41,1419.82,360.6,323.94
244.63,171.98,961.9,622.28,422.97,465.37,1065.21,654.11,1432.88,360.97,322.76
242.99,170.89,958.85,619.84,422.81,464.84,1057.2,651.04,1436.23,360.28,322.03
243.28,170.64,954.96,619.31,429.22,465.98,1058.45,651.32,1446.46,359.19,321.27
242.66,168.26,946.48,624.47,428.04,459.31,1040.49,647.76,1432.11,359.46,324.41
243.36,166.53,935.74,625.09,422.11,453.5,1032.22,635.25,1411.07,352.72,325.54
242.91,165.47,930.77,623.81,416.77,448.9,1026.94,629.83,1402.13,349.29,325.92
242.16,164.85,922.52,619.12,412.37,444.47,1019.95,624.51,1382.07,345.75,324.27
243.33,167.05,933.12,624.92,419.86,453.65,1038.97,634.48,1407.63,351.82,327.59
244.12,166.98,937.22,629.91,423.76,455.67,1043.45,637.93,1414.4,352.92,329.06
242.65,164.67,928.25,620.29,421.16,447.03,1027.12,631.02,1390.61,351.1,324.12
239.82,163.32,923.3,615.86,415.93,446.3,1017.63,626.62,1373.62,349.6,323.25
241.12,165.56,939.96,627.61,427.07,455.86,1033.33,639.2,1401.34,356.28,327.49
243.6,167.26,947.27,629.38,437.13,465.54,1043.37,654.89,1413.36,364.66,328.49
243.22,166.67,939.36,626.39,440.45,466.03,1034.11,653.53,1398.82,362.03,328.29
245.14,168.23,942.86,626.9,440.45,464.93,1038.47,656.23,1416.98,362.97,329.42
242.94,169.58,948.15,623.79,446.4,466.75,1045.04,655.69,1416.42,363.73,327.84
243.13,167.7,939.04,622.58,445.38,463.36,1050.1,651.05,1399.08,361.71,327.93
243.39,169.98,950.35,621.15,452.76,467.76,1059.7,655.24,1413.57,365.23,324.5
242.82,170.66,948.16,618.9,452.25,466.96,1066.2,656.39,1410.34,366.12,324.08
243.62,171.45,959.36,620.27,451.89,469.98,1059.81,660.72,1426.3,366.72,322.88
